Process ID,Business Process,Process Owner,Primary Location,Peak Season Criticality,Maximum Tolerable Downtime Hours,RTO Hours,RPO Hours,Recovery Priority,Key Dependencies,Primary Systems,Key Roles,Manual Workaround Available,Operational Impact if Unavailable,Estimated Financial Impact per Day,Legal Regulatory or Food Safety Impact,Notes
P01,Order intake and customer service,Sales Manager,HQ,High,24,8,4,4,Internet Microsoft 365 ERP,A01 A03 A23,Sales coordinators customer service,Yes,Orders delayed and customer communication degraded,5000,Contractual SLA exposure,Use phone and paper order log if needed
P02,Production planning and scheduling,Production Manager,HQ and Plants,High,12,4,2,2,ERP network file server,A01 A04 A15 A16,Production planner line supervisors,Limited,Schedule disruptions material mismatch and overtime,10000,Could affect customer commitments,Daily production board can be used briefly
P03,Raw material receiving and traceability,Warehouse Manager,Plants,High,12,4,1,2,WMS scanners network ERP,A01 A02 A08 A15 A16,Warehouse team goods in operators,Limited,Inbound delays and weaker lot traceability,12000,Traceability obligations and recall risk,Paper receiving log possible for short outage
P04,Production and packing operations,Production Manager,Plant 1 and Plant 2,Critical,8,4,1,1,Production PCs production LAN ERP,A01 A07 A17,Line operators supervisors maintenance,Limited,Production halt missed shipments and waste,25000,Potential food safety and customer supply risk,Highest business continuity priority
P05,Quality control and batch release,Quality Manager,Plant Labs,Critical,12,4,2,1,Recipe database QA records file server,A04 A06 A22,QA analysts quality manager,Limited,Batches cannot be released and hold inventory grows,18000,Food safety labeling and compliance risk,Manual recording possible but approval bottleneck remains
P06,Warehouse dispatch and shipping,Warehouse Manager,Warehouse,High,12,6,2,3,WMS scanners ERP network,A01 A02 A08 A15,Dispatch team transport coordinator,Yes,Shipment delays and customer complaints,15000,Traceability and delivery evidence may be affected,Manual pick and ship lists available short term
P07,Procurement and supplier coordination,Supply Chain Manager,HQ,Medium,24,8,4,5,Email ERP supplier interfaces,A01 A03 A21 A23,Buyers supply chain staff,Yes,Purchase orders delayed and stockout risk increases,6000,Contractual issues with key suppliers,Phone based coordination possible
P08,Payroll and HR administration,HR Manager,HQ,Low,72,48,24,8,Payroll system Microsoft 365,A03 A05,HR staff finance approver,Yes,Payroll delay and employee dissatisfaction,3000,Employment law and confidentiality impact,Manual calculations only as contingency
P09,Finance and supplier payments,Finance Manager,HQ,Medium,72,48,24,7,ERP email bank portal,A01 A03 A05,Finance staff approvers,Yes,Payment delays cash flow friction and fraud handling issues,4000,Audit and record keeping obligations,Use alternate approval process if email unavailable
P10,Internal communication and management coordination,Managing Director,HQ and Plants,Medium,24,8,4,6,Internet Microsoft 365 smartphones,A03 A10 A23,Management all department leads,Yes,Coordination slows during incident or outage,2000,Minimal direct regulatory effect,Phone tree should be maintained